
Bali,Badung,"Abiansemal, Badung"
Bali,Badung,"Jimbaran, Badung"
Bali,Badung,"Kuta, Badung"
Bali,Badung,"Legian, Badung"
Bali,Badung,"Menguwi, Badung"
Bali,Badung,"Ngurah Rai, Badung"
Bali,Badung,"Nusa Dua, Badung"
Bali,Badung,"Petang, Badung"
Bali,Badung,"Sanur, Badung"
Bali,Bangli,"Kintamani, Bangli"
Bali,Bangli,"Susut, Bangli"
Bali,Bangli,"Tembuku, Bangli"
Bali,Bangli,Bangli
Bali,Buleleng,"Banjar, Buleleng"
Bali,Buleleng,"Busung Biu, Buleleng"
Bali,Buleleng,"Gerokgak, Buleleng"
Bali,Buleleng,"Kubutambahan, Buleleng"
Bali,Buleleng,"Sawan, Buleleng"
Bali,Buleleng,"Seririt, Buleleng"
Bali,Buleleng,"Singaraja, Buleleng"
Bali,Buleleng,"Sukasada, Buleleng"
Bali,Buleleng,"Tejakula, Buleleng"
Bali,Buleleng,Buleleng
Bali,Denpasar,Denpasar
Bali,Gianyar,"Blahbatuh, Gianyar"
Bali,Gianyar,"Payangan, Gianyar"
Bali,Gianyar,"Sukawati, Gianyar"
Bali,Gianyar,"Tampaksiring, Gianyar"
Bali,Gianyar,"Tegal Lalang, Gianyar"
Bali,Gianyar,"Ubud, Gianyar"
Bali,Gianyar,Gianyar
Bali,Jembrana,"Gilimanuk (desa), Jembrana"
Bali,Jembrana,"Melaya, Jembrana"
Bali,Jembrana,"Mendoyo, Jembrana"
Bali,Jembrana,"Negara, Jembrana"
Bali,Jembrana,"Pekutatan, Jembrana"
Bali,Karangasem,"Abang, Karangasem"
Bali,Karangasem,"Amlapura, Karangasem"
Bali,Karangasem,"Bebandem, Karangasem"
Bali,Karangasem,"Kubu, Karangasem"
Bali,Karangasem,"Manggis, Karangasem"
Bali,Karangasem,"Rendang, Karangasem"
Bali,Karangasem,"Selat, Karangasem"
Bali,Karangasem,"Sidemen, Karangasem"
Bali,Karangasem,Karangasem
Bali,Klungkung,"Banjarangkan, Klungkung"
Bali,Klungkung,"Dawan, Klungkung"
Bali,Klungkung,"Nusapenida, Klungkung"
Bali,Klungkung,Klungkung
Bali,Tabanan,"Baturiti, Tabanan"
Bali,Tabanan,"Kediri, Tabanan"
Bali,Tabanan,"Kerambitan, Tabanan"
Bali,Tabanan,"Marga, Tabanan"
Bali,Tabanan,"Penebel, Tabanan"
Bali,Tabanan,"Pupuan, Tabanan"
Bali,Tabanan,"Selemadeg Barat, Tabanan"
Bali,Tabanan,"Selemadeg Timur, Tabanan"
Bali,Tabanan,"Selemadeg, Tabanan"
Bali,Tabanan,"Tabanan/ Bajera, Tabanan"
Bangka Belitung,Pangkal Pinang,Pangkal Pinang
Banten,Cilegon,Cilegon
Banten,Lebak,"Banjarsari, Lebak"
Banten,Lebak,"Bayah, Lebak"
Banten,Lebak,"Bojongmanik, Lebak"
Banten,Lebak,"Cibadak, Lebak"
Banten,Lebak,"Cibeber, Lebak"
Banten,Lebak,"Cijaku, Lebak"
Banten,Lebak,"Cikulur, Lebak"
Banten,Lebak,"Cileles, Lebak"
Banten,Lebak,"Cimarga, Lebak"
Banten,Lebak,"Cipanas, Lebak"
Banten,Lebak,"Curugbitung, Lebak"
Banten,Lebak,"Gunungkencana, Lebak"
Banten,Lebak,"Leuwidamar, Lebak"
Banten,Lebak,"Maja, Lebak"
Banten,Lebak,"Malingping, Lebak"
Banten,Lebak,"Muncang, Lebak"
Banten,Lebak,"Panggarangan, Lebak"
Banten,Lebak,"Rangkasbitung, Lebak"
Banten,Lebak,"Sajira, Lebak"
Banten,Lebak,"Sobang, Lebak"
Banten,Lebak,"Wanasalam, Lebak"
Banten,Lebak,"Warunggunung, Lebak"
Banten,Pandeglang,"Angsana, Pandeglang"
Banten,Pandeglang,"Banjar, Pandeglang"
Banten,Pandeglang,"Bojong, Pandeglang"
Banten,Pandeglang,"Cadas Sari, Pandeglang"
Banten,Pandeglang,"Carita, Pandeglang"
Banten,Pandeglang,"Cibaliung, Pandeglang"
Banten,Pandeglang,"Cibitung, Pandeglang"
Banten,Pandeglang,"Cigeulis, Pandeglang"
Banten,Pandeglang,"Cikedal, Pandeglang"
Banten,Pandeglang,"Cikeusik, Pandeglang"
Banten,Pandeglang,"Cimanggu, Pandeglang"
Banten,Pandeglang,"Cimanuk, Pandeglang"
Banten,Pandeglang,"Cipeucang, Pandeglang"
Banten,Pandeglang,"Cisata, Pandeglang"
Banten,Pandeglang,"Jiput, Pandeglang"
Banten,Pandeglang,"Kaduhejo, Pandeglang"
Banten,Pandeglang,"Karangtanjung, Pandeglang"
Banten,Pandeglang,"Labuan, Pandeglang"
